time,open,high,low,close,8day,Plot,Plot,Plot,Plot,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band
2019-12-19T21:00:00-03:00,128.2,128.85,126.04,128.12,133.1910604,141.096468,157.4885728,NaN,NaN,33.89183187,35.1917388,NaN,NaN
2019-12-20T21:00:00-03:00,128.28,128.29,126.7,126.94,131.8019358,139.7482329,156.2905895,NaN,NaN,33.13574524,34.84599992,NaN,NaN
2019-12-21T21:00:00-03:00,126.89,132.86,126.84,132.16,131.8815057,139.0255441,155.3442919,NaN,NaN,39.55935014,34.67138621,NaN,NaN
2019-12-22T21:00:00-03:00,132.54,135.1,125.92,127.99,131.0167266,137.9745399,154.2715746,NaN,NaN,36.53942128,34.49705141,NaN,NaN
2019-12-23T21:00:00-03:00,127.88,129.37,126.78,127.71,130.2818985,136.9969646,153.2299442,NaN,NaN,36.33882398,34.42362867,NaN,NaN
2019-12-24T21:00:00-03:00,127.45,127.45,123.33,124.7,129.0414766,135.8258252,152.1111229,NaN,NaN,34.16728775,34.3655374,NaN,NaN
2019-12-25T21:00:00-03:00,124.7,131.77,124.32,125.43,128.2389262,134.8357466,151.0648043,NaN,NaN,35.17899077,34.1810448,NaN,NaN
2019-12-26T21:00:00-03:00,125.43,126.6,122.28,126.35,127.8191649,134.0275802,150.0955963,NaN,NaN,36.50336781,34.10829866,NaN,NaN
2019-12-27T21:00:00-03:00,125.71,129.39,125.71,127.68,127.7882393,133.4230488,149.2165533,NaN,NaN,38.46084137,34.35671867,NaN,NaN
2019-12-28T21:00:00-03:00,127.64,137.72,127.29,134.25,129.2241861,133.501806,148.6296297,NaN,NaN,47.1313032,35.15155396,NaN,NaN
2019-12-29T21:00:00-03:00,133.22,135.44,130.03,131.18,129.6588114,133.2806817,147.9453304,NaN,NaN,44.01091408,36.29579397,NaN,NaN
2019-12-30T21:00:00-03:00,131.05,133,127.77,128.74,129.4546311,132.8482358,147.1921802,NaN,NaN,41.65066735,37.68666549,NaN,NaN
