time,open,high,low,close,8day,Plot,Plot,Plot,Plot,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band
2022-05-17T21:00:00-03:00,30410.19,30671.42,28614.86,28678.63,30317.19875,32913.96673,36668.64711,39395.24129,42048.17708,31.54884911,31.3745642,NaN,NaN
2022-05-18T21:00:00-03:00,28678.62,30506,28651.16,30286.25,30310.32125,32663.70799,36418.35703,39214.86523,41931.14298,38.26348047,31.37676454,NaN,NaN
2022-05-19T21:00:00-03:00,30286.25,30736.46,28700,29165.58,30055.93431,32330.55294,36133.9344,39015.86948,41804.12245,35.63898529,31.29443166,NaN,NaN
2022-05-20T21:00:00-03:00,29165.57,29614.99,28911.24,29405.07,29911.29779,32051.93552,35870.05736,38825.55662,41680.74879,36.63916156,31.38687802,NaN,NaN
2022-05-21T21:00:00-03:00,29405.06,30454.81,29219.7,30260.96,29989.00051,31881.36642,35650.09276,38655.96065,41567.11905,40.21486994,31.98841745,NaN,NaN
2022-05-22T21:00:00-03:00,30260.96,30634,28843,29079.28,29786.84039,31614.50105,35392.41383,38466.32341,41442.86195,37.10170811,32.88874756,NaN,NaN
2022-05-23T21:00:00-03:00,29079.28,29832.82,28643.94,29628.94,29751.75142,31425.4,35166.39525,38291.32572,41325.31049,39.44977113,33.66148544,NaN,NaN
2022-05-24T21:00:00-03:00,29628.94,30188,29299,29517.72,29699.74444,31243.71619,34944.87857,38117.59095,41207.82202,39.13144651,34.64758161,NaN,NaN
2022-05-25T21:00:00-03:00,29517.73,29857.18,28000,29167.98,29581.57456,31046.02703,34718.33353,37940.37093,41088.0226,38.09059072,35.56067411,NaN,NaN
2022-05-26T21:00:00-03:00,29167.98,29361.9,28252,28597.97,29362.99577,30812.87874,34478.31927,37755.37289,40963.74347,36.39161251,36.25311092,NaN,NaN
2022-05-27T21:00:00-03:00,28597.97,29222,28494.83,29000,29282.33004,30640.22362,34263.48322,37581.99917,40844.70125,38.47598551,36.81516915,NaN,NaN
2022-05-28T21:00:00-03:00,29000.01,29560,28810.81,29432.6,29315.72337,30525.21185,34074.03682,37420.62493,40731.148,40.72676235,37.13829062,NaN,NaN
2022-05-29T21:00:00-03:00,29435.79,32184.87,29279.21,31710.4,29847.87373,30638.08691,33981.34518,37307.55117,40641.38931,50.9101686,38.4279038,NaN,NaN
2022-05-30T21:00:00-03:00,31710.4,32378.34,31198.09,31775.49,30276.2329,30746.41101,33894.84106,37198.0054,40553.17141,51.16834659,39.5536956,NaN,NaN
2022-05-31T21:00:00-03:00,31777.38,31959,29302.93,29776.67,30165.21892,30654.05473,33733.34415,37051.04827,40445.94254,43.58726171,40.41358221,NaN,NaN
2022-06-01T21:00:00-03:00,29777.6,30667.99,29564.05,30425.79,30223.12361,30632.31523,33603.63615,36919.85503,40346.23953,46.36635592,40.99235903,NaN,NaN
2022-06-02T21:00:00-03:00,30425.79,30669.01,29242.1,29667.32,30099.61169,30540.41092,33449.27081,36776.24048,40239.98162,43.65986498,41.56527901,NaN,NaN
2022-06-03T21:00:00-03:00,29667.32,29951,29450,29840.5,30042.03132,30473.75274,33307.75038,36638.89908,40136.50419,44.45708156,42.12370187,NaN,NaN
2022-06-04T21:00:00-03:00,29840.51,30155,29506.89,29894.46,30009.23769,30418.582,33173.89586,36505.34583,40034.59331,44.7195571,42.44546523,NaN,NaN
2022-06-05T21:00:00-03:00,29894.47,31740,29863.91,31345.26,30306.13154,30506.83705,33102.18465,36403.16592,39948.13228,51.37315463,43.46485427,NaN,NaN
2022-06-06T21:00:00-03:00,31345.25,31554.8,29200,31108.43,30484.42008,30564.13162,33023.99819,36298.31966,39860.17504,50.30866447,44.24048951,NaN,NaN
2022-06-07T21:00:00-03:00,31108.44,31300.63,29824.95,30178.15,30416.36007,30527.37146,32912.3963,36177.12818,39763.83648,46.25433092,44.74926697,NaN,NaN
2022-06-08T21:00:00-03:00,30178.16,30680.09,29921.89,30082.56,30342.18227,30485.00847,32801.42233,36056.44366,39667.50538,45.84548776,45.30318819,NaN,NaN
2022-06-09T21:00:00-03:00,30085.46,30342,28810.83,29062.66,30057.84399,30349.54671,32654.8042,35917.9529,39561.98453,41.61859199,45.67654386,NaN,NaN
2022-06-10T21:00:00-03:00,29062.66,29408.64,28075,28393.25,29687.93421,30163.23273,32487.68443,35768.94888,39450.85284,39.07227248,45.71913579,NaN,NaN
2022-06-11T21:00:00-03:00,28393.25,28512.18,26531,26546.48,28989.83328,29818.78009,32254.69602,35586.32574,39322.45112,33.06240078,45.17168139,NaN,NaN
2022-06-12T21:00:00-03:00,26543.54,26863.08,21900.27,22449.81,27536.49477,29116.97342,31870.19068,35326.19671,39154.56414,24.17812544,43.26224974,NaN,NaN
2022-06-13T21:00:00-03:00,22449.82,23317.9,20813,22102.82,26329.01149,28448.95881,31487.15654,35064.34767,38984.89505,23.59967741,41.29305908,NaN,NaN
2022-06-14T21:00:00-03:00,22114.23,22780,20072,22555.88,25490.53783,27887.71321,31136.9104,34816.65524,38821.42226,26.08619053,40.04298257,NaN,NaN
2022-06-15T21:00:00-03:00,22555.87,22973.42,20205.81,20373.05,24353.31831,27172.031,30714.79823,34530.64325,38637.85637,22.31750366,38.32520741,NaN,NaN
2022-06-16T21:00:00-03:00,20373.05,21327.8,20220,20443.84,23484.54535,26531.2509,30312.01555,34251.69665,38456.82138,22.70749366,36.82860946,NaN,NaN
2022-06-17T21:00:00-03:00,20443.85,20748.25,17588.88,18942.69,22475.24416,25808.53082,29866.15965,33948.54801,38262.65092,20.37189324,35.10823886,NaN,NaN
2022-06-18T21:00:00-03:00,18942.68,20786.43,17915,20545.4,22046.3899,25307.28026,29500.63966,33683.13914,38086.35986,28.79297222,33.97062566,NaN,NaN
2022-06-19T21:00:00-03:00,20544.28,21044.25,19613.02,20548.97,21713.62993,24854.10786,29149.59379,33423.05658,37911.85847,28.81103198,32.35904547,NaN,NaN
2022-06-20T21:00:00-03:00,20548.17,21700,20331.13,20702.37,21488.9055,24458.70425,28818.33011,33171.16179,37740.61978,29.63683476,30.8824862,NaN,NaN
2022-06-21T21:00:00-03:00,20700.5,20873,19752.43,19966.73,21150.64428,24030.89718,28471.20854,32909.6879,37563.76516,27.96169228,29.57586916,NaN,NaN
2022-06-22T21:00:00-03:00,19966.73,21212.1,19866.4,21090.01,21137.16999,23750.81269,28181.74978,32675.63487,37399.84719,34.08790951,28.73604214,NaN,NaN
2022-06-23T21:00:00-03:00,21090,21541.26,20715.59,21219.01,21155.35666,23509.68862,27908.70116,32448.77101,37238.84384,34.77392904,28.24713764,NaN,NaN
2022-06-24T21:00:00-03:00,21219.02,21596.1,20899.67,21476.51,21226.72407,23316.05256,27656.45837,32231.49852,37082.0047,36.20135969,28.04207244,NaN,NaN
2022-06-25T21:00:00-03:00,21473.73,21873.68,20943.67,21026.76,21182.28761,23098.0247,27396.4702,32009.62251,36922.25102,34.77010025,28.16405098,NaN,NaN
2022-06-26T21:00:00-03:00,21026.76,21525,20480.58,20721.63,21079.91925,22871.70139,27134.71176,31786.0979,36761.05081,33.79391899,28.85089337,NaN,NaN
2022-06-27T21:00:00-03:00,20721.63,21191.07,20177.22,20256.79,20897.00164,22622.66221,26864.98933,31557.79478,36596.82931,32.30589621,29.47276614,NaN,NaN
2022-06-28T21:00:00-03:00,20256.79,20407.61,19820.01,20099,20719.66794,22382.31343,26599.65642,31330.88795,36432.6718,31.79412186,29.88047552,NaN,NaN
